Open,High,Low,Close,Volume
104.95,106.34,104.29,105.94,272330717
106.44,106.58,104.88,105.23,224492677
105.89,106.97,104.31,106.86,272704063
106.58,106.91,105.3,105.31,167238558
104.92,105.98,104.49,105.31,273933006
106.73,108.61,106.66,108.46,267834949
108.72,109.49,108.49,109.47,156112147
,,,110.89,0
110.37,110.51,109.55,109.64,141973690
109.86,110.85,109.81,110.41,150268927
111.65,111.68,110.62,110.92,147017889
111.12,111.61,110.87,111.48,127818961
112.58,112.95,112.13,112.72,178503456
112.5,113.29,112.08,112.65,209823581
112.32,113.21,111.98,113.08,168608341
112.73,113.12,112.35,113.05,199962858
113.04,113.15,112.18,112.49,195836810
112.88,114.46,112.52,114.21,214786712
114.3,114.84,113.51,113.98,268632440
113.8,114.44,113.1,113.42,191322353
112.49,113.67,112.18,112.5,202354235
113.75,114.9,113.65,114.82,209671704
114.86,114.99,114.16,114.27,128799460
114.42,115.04,113.18,114.67,209207409
114.38,114.91,114.02,114.47,179665724
115.05,115.79,113.59,114.13,287106609
114.99,115.12,113.93,114.61,174638619
114.37,114.85,113.18,113.75,166153198
114.8,116.32,114.67,116.04,229634076
116.02,116.33,115.56,116.03,148626519
116.5,116.53,115.19,115.89,164859971
116.05,116.86,115.61,116.54,177760079
116.72,116.97,116.25,116.65,103098291
116.27,117.35,115.65,117.01,182209984
117.66,118.55,117.38,117.92,194347147
117.81,118.01,116.72,117.46,217764255
118.28,118.35,116.76,117.7,243704938
117.74,118.67,117.31,118.54,141502179
117.19,117.85,116.02,116.73,280604682
116.94,118.44,116.87,117.87,200051747
118.4,119.09,117.21,118.13,221546107
118.31,118.53,118.0,118.35,108212321
119.14,119.76,118.61,118.7,151145700
118.1,118.84,117.87,118.72,158982885
117.89,118.51,117.26,118.38,190023965
119.06,119.11,117.83,118.4,168575989
118.28,118.72,118.07,118.49,144305475
119.07,119.75,117.85,118.53,174074708
119.42,119.75,119.1,119.48,158345856
119.68,120.02,118.45,119.95,226702775
121.28,122.32,119.97,122.26,215039313
122.34,122.92,122.18,122.72,180654096
122.34,122.69,121.94,122.49,155901614
122.82,122.95,121.12,121.61,186621575
121.58,122.16,120.66,122.1,221387386
121.05,121.82,120.68,121.64,158017547
120.82,121.35,119.65,120.2,239068789
120.58,121.05,119.98,120.03,163940710
119.29,119.49,117.59,118.16,300331917
118.21,118.71,117.86,118.22,172308826
119.36,120.39,119.35,119.96,197723674
119.9,120.34,119.25,120.29,156852807
119.69,120.24,118.77,120.19,181592166
118.77,119.02,117.99,118.45,222308913
,,,120.2,0
119.16,119.81,118.8,118.8,76007704
118.5,119.48,117.74,119.16,223642224
117.98,119.17,117.81,118.49,233930639
120.2,121.24,120.19,121.01,221037149
121.2,122.65,121.13,122.56,191213570
122.14,123.03,122.11,122.89,151288823
122.63,123.04,122.5,122.76,103050459
123.94,124.01,122.76,122.83,206580946
122.98,123.38,122.41,123.28,138019177
123.97,124.02,123.15,123.76,123705049
124.14,124.6,123.73,124.48,117571625
125.05,125.2,124.52,124.56,133812609
124.75,125.23,124.29,124.67,147249532
124.44,124.93,123.89,124.1,160823010
124.18,124.91,123.75,124.82,185035177
124.08,124.46,123.82,124.3,141075278
124.64,124.9,123.98,124.6,119085459
124.99,125.47,124.87,125.39,94965438
125.48,125.82,125.41,125.78,78878090
,,,125.6,0
125.13,125.77,125.04,125.65,58125974
125.9,125.95,125.5,125.83,55309010
125.98,126.2,125.9,125.92,58033036
125.8,126.13,125.53,125.72,76616846
125.53,125.87,125.33,125.75,91270271
126.71,127.6,125.7,127.05,138725191
127.33,127.37,126.19,126.98,137409675
126.58,127.72,126.46,127.64,133975250
127.69,127.83,127.01,127.39,122518970
127.56,127.77,126.15,127.14,156034587
126.58,127.16,126.2,126.98,122401644
127.44,127.74,126.95,127.43,110286968
128.21,128.72,127.46,128.58,107929135
128.63,128.69,128.05,128.37,129229132
,,,129.3,0
129.18,129.64,129.03,129.52,114401252
129.41,129.54,127.91,128.25,151958324
127.96,128.4,127.13,128.08,175745603
128.88,129.17,128.23,128.37,151462880
128.28,129.25,128.26,129.1,113715455
128.76,129.28,128.11,129.17,167552153
129.49,130.05,129.23,129.67,141281439
129.7,130.21,129.47,129.99,123302633
130.14,130.35,127.51,127.72,295637223
128.07,128.78,127.75,128.68,149249105
129.46,130.97,129.38,130.74,167194214
130.46,130.84,130.33,130.48,23406221
130.27,130.98,129.58,130.76,31138289
130.85,131.2,130.23,131.17,27291113
131.44,132.4,131.44,132.0,21707662
132.13,132.64,131.73,132.59,22787018
132.2,132.63,131.62,132.32,32233046
131.61,132.46,131.3,132.33,36606250
131.8,133.28,131.77,133.15,27395996
133.07,133.54,132.89,133.43,20967255
133.05,133.22,132.66,133.04,21560577
133.47,134.01,133.19,133.82,26386036
133.43,134.43,133.34,134.22,23248504
,,,134.57,0
133.11,133.86,131.48,131.8,48257050
131.72,132.07,130.21,131.01,52179204
130.86,131.44,129.7,130.92,50875335
131.47,132.41,131.41,132.32,28752739
132.84,133.32,132.38,133.15,30339531
133.68,133.68,130.89,130.89,48377722
130.79,131.81,130.6,131.16,46020707
132.39,133.62,132.39,133.47,33784072
